10.0.39.133,10.2.181.26,,,1227,38101,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.19,10.0.0.20,,,119,2792,,, eSim(0.01)=94.41%, eSim(0.2)=99.81%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.19,10.0.0.20,,,119,2792,,, eSim(0.01)=94.16%, eSim(0.2)=99.93%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.19,10.0.0.20,,,119,2792,,, eSim(0.01)=94.68%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.2.53,10.1.27.100,,,44381,20,,, eSim(0.01)=41.30%, eSim(0.2)=71.74%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.2.53,10.1.27.100,,,44381,20,,, eSim(0.01)=44.07%, eSim(0.2)=79.66%, eSim(2.5)=98.31%, eSim(>=2.5)=1.69%
10.0.2.53,10.1.27.100,,,48169,20,,, eSim(0.01)=42.86%, eSim(0.2)=90.11%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.2.53,10.1.27.100,,,48169,20,,, eSim(0.01)=28.21%, eSim(0.2)=74.36%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.2.53,10.1.27.100,,,48169,20,,, eSim(0.01)=23.08%, eSim(0.2)=38.46%, eSim(2.5)=92.31%, eSim(>=2.5)=7.69%
10.0.2.53,10.1.27.100,,,48169,20,,, eSim(0.01)=20.00%, eSim(0.2)=53.33%, eSim(2.5)=86.67%, eSim(>=2.5)=13.33%
10.0.2.53,10.1.27.100,,,48169,20,,, eSim(0.01)=33.33%, eSim(0.2)=33.33%, eSim(2.5)=66.67%, eSim(>=2.5)=33.33%
10.0.2.53,10.1.27.100,,,48169,20,,, eSim(0.01)=25.00%, eSim(0.2)=50.00%, eSim(2.5)=87.50%, eSim(>=2.5)=12.50%
10.0.2.53,10.1.27.100,,,48169,20,,, eSim(0.01)=20.00%, eSim(0.2)=53.33%, eSim(2.5)=93.33%, eSim(>=2.5)=6.67%
10.0.2.53,10.1.27.100,,,48169,20,,, eSim(0.01)=22.58%, eSim(0.2)=77.42%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.2.53,10.1.27.100,,,48169,20,,, no or not enough (<=2) retransmissions existent
10.0.2.53,10.1.27.100,,,48169,20,,, no or not enough (<=2) retransmissions existent
10.0.2.53,10.1.27.100,,,48169,20,,, eSim(0.01)=22.22%, eSim(0.2)=33.33%, eSim(2.5)=77.78%, eSim(>=2.5)=22.22%
10.0.2.53,10.1.27.100,,,48169,20,,, eSim(0.01)=27.27%, eSim(0.2)=54.55%, eSim(2.5)=90.91%, eSim(>=2.5)=9.09%
10.0.1.112,10.0.3.231,,,25,40070,,, eSim(0.01)=99.75%, eSim(0.2)=99.85%, eSim(2.5)=99.95%, eSim(>=2.5)=0.05%
10.1.120.98,10.1.161.115,,,3061,5631,,, eSim(0.01)=76.07%, eSim(0.2)=98.49%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.75,10.4.101.207,,,1790,44692,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.75,10.4.101.207,,,1790,44692,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.75,10.4.101.207,,,1790,44692,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.75,10.4.101.207,,,1790,44692,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.75,10.4.101.207,,,1790,44692,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.75,10.4.101.207,,,1790,44692,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.1.114.246,10.3.24.146,,,1598,80,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.1.114.246,10.3.24.146,,,1598,80,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.203.22,10.4.100.154,,,1040,6699,,, eSim(0.01)=99.90%, eSim(0.2)=99.90%, eSim(2.5)=99.95%, eSim(>=2.5)=0.05%
10.0.203.22,10.4.100.154,,,1040,6699,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.1.92.5,10.1.199.211,,,1408,80,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.1.92.5,10.1.199.211,,,1408,80,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.15.6,10.0.169.68,,,7070,4761,,, eSim(0.01)=81.48%, eSim(0.2)=92.59%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.15.6,10.0.169.68,,,7070,4761,,, eSim(0.01)=87.50%, eSim(0.2)=87.50%, eSim(2.5)=96.88%, eSim(>=2.5)=3.12%
10.0.15.6,10.0.169.68,,,7070,4761,,, eSim(0.01)=57.69%, eSim(0.2)=80.77%, eSim(2.5)=96.15%, eSim(>=2.5)=3.85%
